id,prefectures,city,ward,town,polygon
22,京都府,京都市,上京区,上天神町,"POLYGON((135.75134871618292 35.03678871387434,135.75091491336082 35.03671410158488,135.7509058609491 35.036777537441395,135.7506276010013 35.036745846536846,135.7506235112344 35.0367964746541,135.75062150729767 35.036800625393205,135.75050130016749 35.03678869110395,135.75050655586253 35.036735248314834,135.7505106792294 35.03668074763114,135.7492615545055 35.0366479285887,135.74926299703415 35.03653884099688,135.7492628461791 35.03626354001186,135.74945356584308 35.0362611109706,135.74945321464992 35.03623589697891,135.7495367420719 35.03623655994749,135.7495371566776 35.03620564300026,135.7499109835954 35.03620555695284,135.74995157766406 35.03587702500161,135.7506458323344 35.035929210652654,135.7509388354996 35.035982906420784,135.7511133134253 35.03599290753859,135.75111030587254 35.035960786586514,135.75158666126245 35.0360639379082,135.75167832940366 35.03608377206285,135.75164851983266 35.036166111685596,135.75159384897205 35.03615839576016,135.75143393295667 35.036553874285936,135.7514523433195 35.03656074267936,135.75134871618292 35.03678871387434))"
23,京都府,京都市,上京区,上小川町,"POLYGON((135.75476848726834 35.03189251186364,135.75454529291775 35.031892418566585,135.7544985706535 35.03192669360768,135.75431233110677 35.03193061675624,135.754303795783 35.032001449557754,135.75410726477335 35.03201098689897,135.7541086488385 35.031861331734085,135.75397311109174 35.03185366560499,135.75397202066776 35.031795138371976,135.7539883753357 35.03165748644992,135.7538801550248 35.031663044427695,135.7538754984837 35.03164521669386,135.75385159384808 35.03113731904268,135.75392444567873 35.03113408458196,135.75393722232752 35.030888953455,135.75402279458905 35.0308908855272,135.75402590041656 35.03081053406275,135.75431544550983 35.030796817593,135.75431101353846 35.03074673494266,135.75450092362456 35.030737959643226,135.7544954507356 35.03069963636497,135.7546662856692 35.03069201981216,135.75467237236947 35.03076936066737,135.75470732514452 35.03076978209415,135.75469458343767 35.03085905859192,135.75465882319344 35.03089272179923,135.75472109182874 35.03089967754701,135.75471816700374 35.03137603983791,135.75462024312367 35.03138140805006,135.75462450154382 35.031497832825586,135.75476069950219 35.031506626439985,135.7547635007484 35.03164565524265,135.75476848726834 35.03189251186364))"
24,京都府,京都市,上京区,上御霊中町,"POLYGON((135.75934164529826 35.0367459149947,135.75940399701463 35.03674843186079,135.7594035502423 35.03679913787432,135.75959126693158 35.03680689871328,135.75959045200727 35.03677823353392,135.76032270312197 35.036789800731476,135.7603363589776 35.037334080927174,135.7595488242216 35.03733839267765,135.75954050333576 35.03747725741566,135.7595347313752 35.037555911685835,135.75940622417824 35.03754833660027,135.75938124638716 35.03754680945768,135.7593781384391 35.03752616817021,135.75936109782637 35.03742993246212,135.75925570499743 35.03742437472973,135.7587022900507 35.03739399532777,135.75868043904134 35.03739219200819,135.75867940231203 35.03726239392295,135.75863672095122 35.037260620128365,135.75864357932497 35.0371250636789,135.75868809677831 35.03712824913654,135.75868347357752 35.036891467404175,135.75872937073677 35.03689127508545,135.7587316435584 35.036801345826895,135.7588097056546 35.03679713192712,135.75880548333612 35.03664359406989,135.75887246024658 35.03664534590456,135.75887121770538 35.03669027472404,135.75918513151106 35.036682155904984,135.75918753757375 35.03674575559809,135.75934164529826 35.0367459149947))"
25,京都府,京都市,上京区,上御霊前町,"POLYGON((135.76065975368158 35.036401773592345,135.76066412656817 35.03645234761556,135.76070691258894 35.03678237720506,135.76032270312197 35.036789800731476,135.75959045200727 35.03677823353392,135.75959126693158 35.03680689871328,135.7594035502423 35.03679913787432,135.75940399701463 35.03674843186079,135.75934164529826 35.0367459149947,135.75918753757375 35.03674575559809,135.75918513151106 35.036682155904984,135.75932966114388 35.03667842394962,135.75933628460834 35.03641560513969,135.75934863288035 35.03603842519425,135.75934920857532 35.0360208433483,135.75954959032876 35.036026995692836,135.75954902024762 35.0360460703624,135.75955344755775 35.03610678597788,135.7596582607518 35.03611206111902,135.75965705927376 35.03614297612307,135.759897445544 35.03613936102446,135.76000510024843 35.03616098034244,135.76010830936156 35.03612124932508,135.76015645337398 35.036158174831485,135.76017133277912 35.036120455185575,135.7604288402068 35.036117858545104,135.76048236617288 35.03613747014026,135.76049106952115 35.036095864888445,135.7607691312551 35.03609147570156,135.76065975368158 35.036401773592345))"
26,京都府,京都市,上京区,上御霊竪町,"POLYGON((135.76209973104616 35.036984096622476,135.76108362568203 35.03697839989736,135.76116275058482 35.03754513099905,135.760728761864 35.037538867483676,135.76072857738706 35.03733420889927,135.7603363589776 35.037334080927174,135.76032270312197 35.036789800731476,135.76070691258894 35.03678237720506,135.76066412656817 35.03645234761556,135.76065975368158 35.036401773592345,135.7607691312551 35.03609147570156,135.76078057305827 35.03605036794415,135.7613614561386 35.036045859788096,135.76154491394894 35.03604445426915,135.76202780418268 35.03604454187045,135.7620691718414 35.03649943547415,135.76203492083187 35.03649951089426,135.76204702614893 35.036721658247004,135.76208466672603 35.03671870200206,135.76209973104616 35.036984096622476))"
27,京都府,京都市,上京区,上御霊馬場町,"POLYGON((135.7634832559886 35.035955647439,135.76347906110018 35.03602324874949,135.76337631132756 35.03602255848059,135.76340127621168 35.036217546712585,135.7633738583816 35.03634531814624,135.76278969206155 35.03635968982299,135.76278855345967 35.0364063804656,135.762452991837 35.03641819971726,135.7624793099834 35.036821511086444,135.76248261141947 35.037000399238735,135.76209973104616 35.036984096622476,135.76208466672603 35.03671870200206,135.76204702614893 35.036721658247004,135.76203492083187 35.03649951089426,135.7620691718414 35.03649943547415,135.76202780418268 35.03604454187045,135.76154491394894 35.03604445426915,135.7613614561386 35.036045859788096,135.76135656575292 35.035673998583206,135.76150626904013 35.03567132974834,135.7615081004868 35.035727393207864,135.76253223853521 35.03570979167742,135.76253176706896 35.03548372211762,135.76284789806925 35.03542305950971,135.76292242099117 35.0352619265514,135.76318718099208 35.03526046310036,135.76344226199856 35.03525905171275,135.76346046643312 35.03533937322058,135.76344752778945 35.0354867503308,135.7634866420414 35.035901214879296,135.7634832559886 35.035955647439))"
28,京都府,京都市,上京区,上木下町,"POLYGON((135.75706586396228 35.03583118745251,135.756955425755 35.03583146184079,135.75695733226345 35.03580160464911,135.7566820000613 35.0358014136556,135.75664209400304 35.035766121882254,135.75663823193068 35.03568124961147,135.75630691889495 35.0356750308101,135.75623212953715 35.03569495482424,135.7562640574447 35.03538429429849,135.75627487637504 35.03527902745723,135.75636591299747 35.03528068689409,135.75637347045253 35.03514118593612,135.75639507114116 35.03514101772803,135.7566026559221 35.035153330233115,135.7566045060538 35.03504755258309,135.75653618179933 35.03504607973582,135.75655463101782 35.03484208981289,135.7567051916937 35.03484583823917,135.75702861659988 35.034869576928614,135.75703010870447 35.03489422947108,135.75714384243952 35.03490065141611,135.75713955839643 35.03526904548805,135.75720495290443 35.035273265263335,135.7572015264678 35.035315492025774,135.75731106225157 35.035321851380495,135.75736791501046 35.03532287837878,135.75736582713998 35.035371046606315,135.7573496999425 35.03574117777487,135.757330328018 35.03574071683315,135.7573266086984 35.035790572088814,135.75706777327082 35.03578569530226,135.75706586396228 35.03583118745251))"
29,京都府,京都市,上京区,上柳原町,"POLYGON((135.75828987870406 35.03492938693177,135.75865141410694 35.03492122209724,135.75876243459194 35.03491883352434,135.7587915570317 35.03538948178818,135.75875322091633 35.035395815195635,135.75875560698842 35.03545871116049,135.75855294791987 35.03547465308339,135.7585587380296 35.03553755483911,135.7586930212138 35.03554507199819,135.7587150376753 35.035830131688236,135.75876916174883 35.03583495680643,135.7587627011905 35.03590755318792,135.75850174418443 35.03591070557194,135.75851428786314 35.03608834495708,135.7585056209593 35.03613171077024,135.7584948757716 35.03613162030226,135.75849472139274 35.036184932385765,135.75833055161175 35.03618573741001,135.7583108539866 35.03618605035404,135.75830902588567 35.03613005883291,135.75798286538244 35.0361030077428,135.75794312008568 35.03610039387204,135.75785767367955 35.03609705737359,135.75786182616454 35.0358907858918,135.7578639297398 35.03578578327599,135.7573496999425 35.03574117777487,135.75736582713998 35.035371046606315,135.75783994238944 35.03537712070428,135.7578387027732 35.03525866079523,135.75795117239113 35.035251487194465,135.75795699796328 35.03492598628628,135.75807822147257 35.03492615420316,135.75828987870406 35.03492938693177))"
30,京都府,京都市,上京区,上片原町,"POLYGON((135.76616935169534 35.03268186063016,135.76615400593892 35.03280359862913,135.76611334741597 35.03285274918092,135.7660670189609 35.03290872110612,135.76610469200452 35.032932244036196,135.76598279045587 35.03311462814019,135.76583687954596 35.033041460010914,135.76575329436923 35.033192999396555,135.76584923793095 35.03324529770023,135.76578759955615 35.033356453828446,135.76567459435245 35.033312152326246,135.76560407780048 35.033421109058,135.76542053472366 35.03334026235745,135.76552328390378 35.032973395034546,135.7656431472721 35.032716003483834,135.76570890601732 35.03257041595897,135.7659951392429 35.03257884758541,135.76599172004543 35.03262271685033,135.76609075537564 35.0326414271249,135.76611297997735 35.03257801478874,135.76621824233777 35.03259680709215,135.76617250202082 35.032656934988985,135.76616935169534 35.03268186063016))"
31,京都府,京都市,上京区,上生洲町,"POLYGON((135.76994656113692 35.01982133775857,135.77155486032242 35.01988052783128,135.77153491264778 35.02038827167745,135.7715347061936 35.020463558416076,135.77150978517307 35.02142618236756,135.77006822788994 35.021396952812935,135.76986288806884 35.021390020704786,135.7698637400067 35.02124423767861,135.7696433881596 35.021233262062324,135.7696360127207 35.02128501332112,135.76939862660856 35.02126484922822,135.76938990235885 35.021377868055694,135.7691151618534 35.02136841061217,135.76874720081983 35.02135567765382,135.76875459398525 35.0211903288748,135.7687723250293 35.020793152625046,135.76875657406018 35.02079270031035,135.76874945570606 35.02049654017618,135.7688891300668 35.02049574540253,135.76888594125893 35.02041080487243,135.7689235878512 35.02041108633732,135.76893016645175 35.02050061177549,135.76911576135163 35.02049553603128,135.76911283725758 35.020384185670466,135.76913206298326 35.02038224923703,135.76918618331882 35.020376786639495,135.76921084145474 35.020375847465,135.76920110223753 35.01993579987221,135.76915229544198 35.01967082720171,135.76936838681576 35.01965785064702,135.76969105876265 35.019637958220834,135.76994999784347 35.019624497200255,135.76998111443703 35.019671147475904,135.76994656113692 35.01982133775857))"
