id,prefectures,city,ward,town,polygon
23,京都,京都,中京区,上本能寺前町,"POLYGON((135.76691197998036 35.01106933262043,135.76691436693713 35.010841204095996,135.76856356965064 35.01085150638135,135.76863545066257 35.01085192398952,135.76893283666195 35.01085403354762,135.768933817591 35.011038628949095,135.76893555463408 35.0120603421342,135.76851344584858 35.01208088755173,135.76754481397074 35.012119625622525,135.76752789748872 35.01192556217041,135.7672307963189 35.011927465159864,135.7672344352461 35.01214692728522,135.76696909230478 35.01214818489965,135.76697647715676 35.01201121525581,135.76692331983585 35.011980689228515,135.76684885219197 35.01197942106257,135.76683889989877 35.01166148732579,135.76683185459143 35.01143652447391,135.76681696118982 35.011436496197845,135.76681713233793 35.0113756918738,135.7668175967188 35.01121175846419,135.76684786734043 35.011154697481935,135.76689213058435 35.01114720177442,135.76689271495715 35.011069296053144,135.76691197998036 35.01106933262043))"
24,京都,京都,中京区,上松屋町,"POLYGON((135.75627692260304 35.01335856622863,135.7558933748902 35.013362659776455,135.7558288372139 35.01338232114249,135.75575312933535 35.01337301413386,135.7557533849438 35.01328680952535,135.7555083971282 35.01328631909096,135.75551011870405 35.0132544881753,135.75551447142274 35.012407728716916,135.75559567958604 35.012409370645436,135.75559933197502 35.01229619840036,135.75551480689242 35.01229469137192,135.75551128576367 35.01219044936745,135.7558797354196 35.012202595823304,135.755877763592 35.012145896167766,135.75597258988688 35.012144888529164,135.75597191585456 35.012097981665676,135.75619560924048 35.01209842849456,135.75618901310895 35.01319858775712,135.75635789585706 35.013201389615375,135.7563517304767 35.01328173718641,135.75627913770876 35.01328278945552,135.75627692260304 35.01335856622863))"
25,京都,京都,中京区,上樵木町,"POLYGON((135.77173704777954 35.012279891347006,135.77040334934574 35.01228099846495,135.77043480793495 35.01104947318425,135.77043783467326 35.010930946553444,135.77176019249652 35.01092157887799,135.7717420064328 35.011933533772634,135.77173704777954 35.012279891347006))"
26,京都,京都,中京区,上瓦町,"POLYGON((135.74835414617684 35.00887032171953,135.74800061254012 35.00887684711601,135.7480007183396 35.00901700144641,135.74751153871458 35.009022047372184,135.74750732873284 35.00847579114619,135.7475077336788 35.00827401275871,135.7476862831473 35.008268183961455,135.74768647150978 35.008206699865625,135.7479077129122 35.00820772011394,135.74790072805058 35.00794472322284,135.74777306868063 35.007935937874834,135.74776803605033 35.00775541714093,135.74836255689272 35.007735655678204,135.74837817086376 35.00848033509886,135.74836755738684 35.00885147390207,135.74835414617684 35.00887032171953))"
27,京都,京都,中京区,上白山町,"POLYGON((135.766018799198 35.01117650352367,135.7661081715904 35.011174279415265,135.76609364007632 35.01178501113583,135.76597096103026 35.011790552389165,135.76597523080554 35.01192191001662,135.76576229730188 35.01191579954752,135.7657621403197 35.01197108570937,135.76556813302307 35.011984026989786,135.76556113468286 35.01184879039367,135.76542687772198 35.01185423869334,135.76538499729375 35.011824296901985,135.76538248532643 35.01134622035357,135.76538237434718 35.01132480971971,135.76539708470978 35.01099931466422,135.76601695687663 35.01099669489393,135.766018799198 35.01117650352367))"
28,京都,京都,中京区,上黒門町,"POLYGON((135.75003108207935 35.00699140569019,135.74989634408678 35.00698838307608,135.7498983159675 35.00707177521399,135.74964891837308 35.00707027814992,135.74964997929192 35.00714366815861,135.74944842827418 35.00714966366716,135.74943411363128 35.00710012251561,135.74929173947078 35.00709588638265,135.7493014924546 35.006401405273515,135.74942889220173 35.0063968769995,135.74944032854674 35.006295201226315,135.74987844383577 35.00628729495851,135.7498850035642 35.00636111813403,135.749867285562 35.00636108186061,135.7498709623371 35.00644694217933,135.7500204085559 35.00644724805222,135.75003108207935 35.00699140569019))"
29,京都,京都,中京区,下一文町,"POLYGON((135.75004477699562 35.008126117625,135.74969790835326 35.008123506101704,135.74968029757284 35.00812339879615,135.74968097643966 35.00823777708279,135.74989700201186 35.00823688176981,135.74989737890536 35.00826068736046,135.7498967380445 35.00836597770215,135.749663308488 35.00836204861207,135.7496594380513 35.008262453677325,135.74943543849574 35.00825396570023,135.7494175584749 35.00818751425033,135.74928331870132 35.0081818163142,135.74927795827446 35.00753146213638,135.74945264300632 35.00752956680851,135.74946054893383 35.007491058628766,135.74997826498782 35.00750043018586,135.74997864386063 35.007579875025215,135.75004600335816 35.00758142100163,135.7500424903189 35.007969168447694,135.7500418046425 35.00804489244547,135.75004114395165 35.00811779932825,135.75004477699562 35.008126117625))"
31,京都,京都,中京区,下八文町,"POLYGON((135.75144252262007 35.007525039610464,135.7515310371566 35.00752521967036,135.7515393329019 35.00735761559454,135.75173584647885 35.007326604368714,135.75175974857876 35.008213355370266,135.7511283738669 35.008198266124765,135.7511258744098 35.0082889737696,135.75096443826715 35.00828956067299,135.7509656873854 35.00823737488796,135.7507607574644 35.00824181687604,135.75076060985444 35.007541470085165,135.75079859652013 35.00749752857483,135.75085538014443 35.00750046156066,135.75086593027856 35.0073308896848,135.75121551694585 35.00733251711424,135.75121857129315 35.00743337788421,135.75131754111874 35.007433227806764,135.75131726452736 35.00752478469501,135.75144252262007 35.007525039610464))"
32,京都,京都,中京区,下古城町,"POLYGON((135.75367127953143 35.01122891652542,135.75367250971706 35.01101819499465,135.75383887486552 35.01100993830344,135.75442739374014 35.01101492559429,135.75442526099548 35.011457428271214,135.75464334509627 35.01145786661276,135.7546584301881 35.01145789691879,135.7546582678305 35.01151233776904,135.75490574561613 35.01150910250656,135.75490416504272 35.01157995034923,135.75489587128442 35.011619937379926,135.75488475539453 35.011673441114226,135.75488058693122 35.01169350535209,135.75488032737766 35.011723296413095,135.75488028954175 35.0117286484908,135.75487998649302 35.011765693764495,135.7548796619987 35.011802949943856,135.7548790018532 35.011880843773106,135.75482764049966 35.01188137441217,135.754826551543 35.012038921336476,135.75459447165477 35.0120452163204,135.7545942753194 35.01211113746079,135.75420135671766 35.012123517925254,135.7541991916205 35.01216062974919,135.75381925350476 35.0121615546095,135.75381834734816 35.01210654742633,135.75375913760064 35.01210558243648,135.75376526092882 35.01186846126497,135.7538559746033 35.01186864415373,135.75385902072213 35.0117152562314,135.75401195050694 35.011713380974,135.75401240859628 35.01155991660001,135.75389058556993 35.011557629273106,135.75388827081238 35.01146592563321,135.75385724162487 35.01146586399794,135.75385062778022 35.01131583590592,135.75380579298053 35.01131659022906,135.75367360800948 35.011316323680376,135.75367127953143 35.01122891652542))"
33,京都,京都,中京区,下大阪町,"POLYGON((135.76996999308471 35.005291042181724,135.7699528733293 35.00556730235949,135.76970482219082 35.00556042808366,135.7697180761135 35.00543480777518,135.76959344742724 35.005429290932526,135.76960338358313 35.00526584417047,135.76924414412642 35.00525284345751,135.76927204376085 35.004834125678286,135.76939041679364 35.00483456024188,135.76939695191945 35.00480090727399,135.76999867359848 35.00482865948478,135.76996999308471 35.005291042181724))"
34,京都,京都,中京区,下妙覚寺町,"POLYGON((135.7575805422469 35.01149767875244,135.75757997517093 35.01192990102512,135.75757970874267 35.01213689129306,135.7572508266452 35.012139477913514,135.75725087030528 35.01218265137025,135.75708603756811 35.012193381285485,135.7570861765457 35.012146265068715,135.7569157320231 35.012151348363794,135.7569169350498 35.01205521382814,135.75692089568417 35.01173864378569,135.75692379131053 35.011507153467576,135.756926991389 35.01125149803107,135.7570513411787 35.011252872316575,135.7570514576931 35.011213432197735,135.75728384980664 35.011209315557046,135.75728382343115 35.01126910978354,135.7574343369006 35.011265957883275,135.75758499029246 35.011266256992236,135.75758069935588 35.01137154024887,135.7575805422469 35.01149767875244))"
35,京都,京都,中京区,下御霊前町,"POLYGON((135.7676307605094 35.01746221954635,135.76752444214964 35.01746068027904,135.767520574321 35.01771696265338,135.76731834863295 35.01774038559332,135.76730529130705 35.01746026657424,135.7670040791178 35.017455542361354,135.76699841961977 35.017216074392174,135.7669527451534 35.01721725548282,135.7669515015023 35.01711210287289,135.7668861399681 35.017112401993074,135.76689383003367 35.01639791829152,135.76695604637453 35.01639676856828,135.76695618799138 35.01634662365759,135.76703230862287 35.01634803519309,135.76702452092786 35.01618821758559,135.76728702634753 35.01618871402574,135.76729769876042 35.016707159888426,135.76801418526594 35.01664195579387,135.76804613180477 35.01698669346761,135.76764332674983 35.01698966735666,135.7676307605094 35.01746221954635))"
